Location,Name,Frequency,Duplex,Offset,Tone,rToneFreq,cToneFreq,DtcsCode,DtcsPolarity,RxDtcsCode,CrossMode,Mode,TStep,Skip,Power,Comment,URCALL,RPT1CALL,RPT2CALL,DVCODE
0,PMR 01,446.006250,,0.000000,TSQL,88.5,88.5,023,NN,023,Tone->Tone,FM,5.00,,25W,,,,,
1,PMR 02,446.018750,,0.000000,TSQL,88.5,88.5,023,NN,023,Tone->Tone,FM,5.00,,25W,,,,,
2,PMR 03,446.031250,,0.000000,TSQL,88.5,88.5,023,NN,023,Tone->Tone,FM,5.00,,25W,,,,,
3,FORTY2,446.043750,,0.000000,TSQL,88.5,71.9,023,NN,023,Tone->Tone,FM,5.00,,25W,,,,,
4,PMR 05,446.056250,,0.000000,TSQL,88.5,88.5,023,NN,023,Tone->Tone,FM,5.00,,25W,,,,,
5,CBSNET,446.068750,,0.000000,TSQL,88.5,100.0,023,NN,023,Tone->Tone,FM,5.00,,25W,,,,,
6,PMR 07,446.081250,,0.000000,TSQL,88.5,88.5,023,NN,023,Tone->Tone,FM,5.00,,25W,,,,,
7,PMR 08,446.093750,,0.000000,TSQL,88.5,88.5,023,NN,023,Tone->Tone,FM,5.00,,25W,,,,,
8,GNR 00,446.093750,,0.000000,TSQL,88.5,88.5,023,NN,023,Tone->Tone,FM,5.00,,25W,,,,,
9,RB1,433.025000,+,1.600000,,88.5,88.5,023,NN,023,Tone->Tone,FM,5.00,,25W,,,,,
10,RB2,433.050000,+,1.600000,,88.5,88.5,023,NN,023,Tone->Tone,FM,5.00,,25W,,,,,
11,RB3,433.075000,+,1.600000,,88.5,88.5,023,NN,023,Tone->Tone,FM,5.00,,25W,,,,,
12,RB4,433.100000,+,1.600000,,88.5,88.5,023,NN,023,Tone->Tone,FM,5.00,,25W,,,,,
13,RB5,433.125000,+,1.600000,,88.5,88.5,023,NN,023,Tone->Tone,FM,5.00,,25W,,,,,
14,RB6,433.150000,+,1.600000,,88.5,88.5,023,NN,023,Tone->Tone,FM,5.00,,25W,,,,,
15,RB7,433.175000,+,1.600000,,88.5,88.5,023,NN,023,Tone->Tone,FM,5.00,,25W,,,,,
16,RB8,433.200000,+,1.600000,,88.5,88.5,023,NN,023,Tone->Tone,FM,5.00,,25W,,,,,
17,RB9,433.225000,+,1.600000,,88.5,88.5,023,NN,023,Tone->Tone,FM,5.00,,25W,,,,,
18,RB10,433.250000,+,1.600000,,88.5,88.5,023,NN,023,Tone->Tone,FM,5.00,,25W,,,,,
19,RB11,433.275000,+,1.600000,,88.5,88.5,023,NN,023,Tone->Tone,FM,5.00,,25W,,,,,
20,RB12,433.300000,+,1.600000,,88.5,88.5,023,NN,023,Tone->Tone,FM,5.00,,25W,,,,,
21,RB13,433.325000,+,1.600000,,88.5,88.5,023,NN,023,Tone->Tone,FM,5.00,,25W,,,,,
22,RB14,433.350000,+,1.600000,,88.5,88.5,023,NN,023,Tone->Tone,FM,5.00,,25W,,,,,
23,RB15,433.375000,+,1.600000,,88.5,88.5,023,NN,023,Tone->Tone,FM,5.00,,25W,,,,,
24,RU66,430.825000,+,7.600000,,88.5,88.5,023,NN,023,Tone->Tone,FM,5.00,,25W,,,,,
25,RU67,430.837500,+,7.600000,,88.5,88.5,023,NN,023,Tone->Tone,FM,5.00,,25W,,,,,
26,RU68,430.850000,+,7.600000,,88.5,88.5,023,NN,023,Tone->Tone,FM,5.00,,25W,,,,,
27,RU69,430.862500,+,7.600000,,88.5,88.5,023,NN,023,Tone->Tone,FM,5.00,,25W,,,,,
28,RU70,430.875000,+,7.600000,,88.5,88.5,023,NN,023,Tone->Tone,FM,5.00,,25W,,,,,
29,RU71,430.887500,+,7.600000,,88.5,88.5,023,NN,023,Tone->Tone,FM,5.00,,25W,,,,,
30,RU72,430.900000,+,7.600000,,88.5,88.5,023,NN,023,Tone->Tone,FM,5.00,,25W,,,,,
31,RU73,430.912500,+,7.600000,,88.5,88.5,023,NN,023,Tone->Tone,FM,5.00,,25W,,,,,
32,RU74,430.925000,+,7.600000,,88.5,88.5,023,NN,023,Tone->Tone,FM,5.00,,25W,,,,,
33,RU75,430.937500,+,7.600000,,88.5,88.5,023,NN,023,Tone->Tone,FM,5.00,,25W,,,,,
34,RU76,430.950000,+,7.600000,,88.5,88.5,023,NN,023,Tone->Tone,FM,5.00,,25W,,,,,
35,RU77,430.962500,+,7.600000,,88.5,88.5,023,NN,023,Tone->Tone,FM,5.00,,25W,,,,,
36,RU78,430.975000,+,7.600000,,88.5,88.5,023,NN,023,Tone->Tone,FM,5.00,,25W,,,,,
37,RU79,430.987500,+,7.600000,,88.5,88.5,023,NN,023,Tone->Tone,FM,5.00,,10W,,,,,
38,U272,433.400000,,0.000000,,88.5,88.5,023,NN,023,Tone->Tone,FM,5.00,,25W,,,,,
39,U274,433.425000,,0.000000,,88.5,88.5,023,NN,023,Tone->Tone,FM,5.00,,25W,,,,,
40,U276,433.450000,,0.000000,,88.5,88.5,023,NN,023,Tone->Tone,FM,5.00,,25W,,,,,
41,U278,433.475000,,0.000000,,88.5,88.5,023,NN,023,Tone->Tone,FM,5.00,,25W,,,,,
42,U280CA,433.500000,,0.000000,,88.5,88.5,023,NN,023,Tone->Tone,FM,5.00,,25W,,,,,
43,U282,433.525000,,0.000000,,88.5,88.5,023,NN,023,Tone->Tone,FM,5.00,,25W,,,,,
44,U284,433.550000,,0.000000,,88.5,88.5,023,NN,023,Tone->Tone,FM,5.00,,25W,,,,,
45,U286,433.575000,,0.000000,,88.5,88.5,023,NN,023,Tone->Tone,FM,5.00,,25W,,,,,
46,RV48,145.000000,+,0.600000,,88.5,88.5,023,NN,023,Tone->Tone,FM,5.00,,25W,,,,,
