Contact Name,ID,ID Type,TS Override
TG 9,9,Group,Disabled
Parrot 9990,9990,Private,Disabled
World Wide 91,91,Group,2
Atlantic 30205,30205,Group,2
Disconnect 4000,4000,Group,Disabled
Europe,92,Group,2
North America,93,Group,2
Middle East,94,Group,2
Australia,95,Group,2
Radio Test,98,Group,2
Hebrew,202,Group,2
Nederland,204,Group,2
Belgium,206,Group,2
France,208,Group,2
Andorra,213,Group,2
Spain,214,Group,2
Hungary,216,Group,2
Bosnia and Herze,218,Group,2
Croatia,219,Group,2
Serbia,220,Group,2
Italia,222,Group,2
Romania,226,Group,2
Switzerland,228,Group,2
Czech Republic,230,Group,2
Slovak,231,Group,2
Austria,232,Group,2
UK Call,235,Group,2
Denmark,238,Group,2
Sweden,240,Group,2
Norway,242,Group,2
Finland,244,Group,2
Lithuania,246,Group,2
Latvia,247,Group,2
Estonia,248,Group,2
Ukraine,255,Group,2
Moldova,259,Group,2
Poland,260,Group,2
Deutschland,262,Group,2
MultiMode DL,263,Group,2
Portugal,268,Group,2
Luxembourg,270,Group,2
Ireland,272,Group,2
Albania,276,Group,2
Malta,278,Group,2
Cyprus,280,Group,2
Georgia,282,Group,2
Armenia,283,Group,2
Bulgaria,284,Group,2
Turkey,286,Group,2
Faroe Islands,288,Group,2
San Marino,292,Group,2
Slovenia,293,Group,2
North Macedonia,294,Group,2
Liechtenstein,295,Group,2
Montenegro,297,Group,2
Canada Wide,302,Group,2
Tac 310 NOT CALL,310,Group,2
TAC 311 NOT CALL,311,Group,2
TAC 312 NOT CALL,312,Group,2
TAC 313 NOT CALL,313,Group,2
TAC 314 NOT CALL,314,Group,2
TAC 315 NOT CALL,315,Group,2
TAC 316 NOT CALL,316,Group,2
TAC 317 NOT CALL,317,Group,2
TAC 318 NOT CALL,318,Group,2
TAC 319 NOT CALL,319,Group,2
Puerto Rico,330,Group,2
XE,334,Group,2
Jamaica,338,Group,2
Grenada,352,Group,2
Saint Lucia,358,Group,2
Curaco,362,Group,2
Bahamas,364,Group,2
Cuba,368,Group,2
Dominican Republ,370,Group,2
Haiti,372,Group,2
Trinidad Tobago,374,Group,2
Turks and Caicos,376,Group,2
Azerbaijan,400,Group,2
Kazahstan,401,Group,2
India,404,Group,2
Pakistan,410,Group,2
Lebanon,415,Group,2
Saudi Arabia,420,Group,2
Oman,422,Group,2
Israel,425,Group,2
Bahrein,426,Group,2
Qatar,427,Group,2
U A Emrates,430,Group,2
Japan,440,Group,2
South Korea,450,Group,2
Vietnam,452,Group,2
Hong Kong,454,Group,2
China,460,Group,2
Bangladesh,470,Group,2
Malaysia nationl,502,Group,2
Australia,505,Group,2
Indonesia,510,Group,2
Philippines,515,Group,2
Thailand,520,Group,2
Singapore,525,Group,2
ZL National,530,Group,2
Egypt,602,Group,2
Morocco,604,Group,2
South Africa,655,Group,2
Guatemala,704,Group,2
El Salvador,706,Group,2
Honduras,708,Group,2
Nicaragua,710,Group,2
Costa Rica,712,Group,2
Panama,714,Group,2
Perú,716,Group,2
Argentina,722,Group,2
Brazil Nacional,724,Group,2
Chile,730,Group,2
Repulica de Col,732,Group,2
Venezuela,734,Group,2
Ecuador,740,Group,2
Uruguay,748,Group,2
WW Tac 1,901,Group,2
WW Tac 2,902,Group,2
WW Tac 3,903,Group,2
JOTA,907,Group,2
German,910,Group,2
English,913,Group,2
Spanish,914,Group,2
Portuguese,915,Group,2
Italian,916,Group,2
YOTA,918,Group,2
DL OE HB9,920,Group,2
Dutch,922,Group,2
European English,923,Group,2
Swedish,924,Group,2
Nordic,927,Group,2
PanHellenic Chat,930,Group,2
Francophonie,937,Group,2
Arabic,940,Group,2
WWYL,955,Group,2
DMR-Caribbean,969,Group,2
Basque,971,Group,2
SOTA,973,Group,2
Hebrew 1,2021,Group,2
Hebrew 2,2022,Group,2
Hebrew 3,2023,Group,2
Hebrew 4,2024,Group,2
Hebrew 5,2025,Group,2
Hebrew 6,2026,Group,2
Hebrew 7,2027,Group,2
Hebrew 8,2028,Group,2
ECR,3129973,Group,2
Noord Nederland,2041,Group,2
Midden Nederland,2042,Group,2
Zuid Nederland,2043,Group,2
Oost Nederland,2044,Group,2
Nederland Techta,2045,Group,2
Belgium North,2061,Group,2
Belgium South,2062,Group,2
Belgium East,2063,Group,2
Belgium OnDemand,2064,Group,2
Belgium OnDemand,2065,Group,2
Belgium OnDemand,2066,Group,2
Belgium OnDemand,2067,Group,2
Belgium OnDemand,2068,Group,2
Belgium OnDemand,2069,Group,2
Urgences FR,2080,Group,2
Region de Fr,2081,Group,2
Region Nord-oues,2082,Group,2
Region Nord-est,2083,Group,2
Region Sud-est,2084,Group,2
Region Sud-ouest,2085,Group,2
Technique,2087,Group,2
France Dom-Tom,2089,Group,2
Spain Link,2140,Group,2
Regional EA1,2141,Group,2
Regional EA2,2142,Group,2
Regional EA3,2143,Group,2
Regional EA4,2144,Group,2
Regional EA5,2145,Group,2
Regional EA6,2146,Group,2
Regional EA7,2147,Group,2
Regional EA8,2148,Group,2
Regional EA9,2149,Group,2
Hungary East,2161,Group,2
Hungary West,2162,Group,2
Hungary North,2163,Group,2
Hungary South,2164,Group,2
Hungary Test,2165,Group,2
Local repeater,2169,Group,2
MULTIPROTO YO,2260,Group,2
Cafe Gratis YO,2261,Group,2
District YO2,2262,Group,2
District YO3,2263,Group,2
District YO4,2264,Group,2
District YO5,2265,Group,2
District YO6,2266,Group,2
District YO7,2267,Group,2
District YO8,2268,Group,2
District YO9,2269,Group,2
Schweiz Deutsch,2280,Group,2
Suisse Romande,2281,Group,2
Valais / Wallis,2282,Group,2
Bern / Solothurn,2283,Group,2
Basel,2284,Group,2
Aargau / Zentral,2285,Group,2
Ticino,2286,Group,2
Graubuden,2287,Group,2
Zurich,2288,Group,2
Ostschweiz,2289,Group,2
Czech Crossconec,2300,Group,2
Bohemia,2301,Group,2
Moravia,2302,Group,2
Slovakia,2311,Group,2
OE-Master,2320,Group,2
Wien,2321,Group,2
Salzburg,2322,Group,2
Niederoesterreic,2323,Group,2
Burgenland,2324,Group,2
Oberoesterreich,2325,Group,2
Steiermark,2326,Group,2
Tirol,2327,Group,2
Kaernten,2328,Group,2
Vorarlberg,2329,Group,2
United Kingdom,2350,Group,2
Chat 1,2351,Group,2
Chat 2,2352,Group,2
Chat 3,2353,Group,2
Ireland,2354,Group,2
Scotland,2355,Group,2
Wales,2356,Group,2
Isle of Man,2357,Group,2
London,2358,Group,2
Kernow,2359,Group,2
Denmark Nordjyll,2381,Group,2
Denmark Midtjyll,2382,Group,2
Denmark Syddanma,2383,Group,2
Denmark Copenhag,2384,Group,2
Denmark Sjaellan,2385,Group,2
QSY1 Chat,2386,Group,2
QSY2 Chat,2387,Group,2
Regional SM0,2400,Group,2
Regional SM1,2401,Group,2
Regional SM2,2402,Group,2
Regional SM3,2403,Group,2
Regional SM4,2404,Group,2
Regional SM5,2405,Group,2
Regional SM6,2406,Group,2
Regional SM7,2407,Group,2
DCS010D,2410,Group,2
SM Tactical,2411,Group,2
DCS010V,2415,Group,2
Swedenlink,2416,Group,2
S0rog 0stlande,2421,Group,2
Vestlandet,2424,Group,2
Midtnorge,2426,Group,2
Nordnorge,2429,Group,2
AX OH0,2440,Group,2
FI OH1,2441,Group,2
FI OH2,2442,Group,2
FI OH3,2443,Group,2
FI OH4,2444,Group,2
FI OH5,2445,Group,2
FI OH6,2446,Group,2
FI OH7,2447,Group,2
FI OH8,2448,Group,2
FI OH9,2449,Group,2
Russia Global,2501,Group,2
XRF250A Bridge,2502,Group,2
DSTAR-SU / 24009,2503,Group,2
*RUSSIA* (EchoLi,2504,Group,2
Bridge to Radioc,2505,Group,2
XRF250C Bridge,2506,Group,2
Ukraine bridge D,2555,Group,2
Emergency Ukrain,2559,Group,2
Moldova Bridge,2599,Group,2
Polonia TG,2600,Group,2
Regional SP1,2601,Group,2
Regional SP2,2602,Group,2
Regional SP3,2603,Group,2
Regional SP4,2604,Group,2
Regional SP5,2605,Group,2
Regional SP6,2606,Group,2
Regional SP7,2607,Group,2
Regional SP8,2608,Group,2
Regional SP9,2609,Group,2
Sachsen-Anhalt/M,2620,Group,2
Berlin/Brandenbu,2621,Group,2
Hamburg/Schleswi,2622,Group,2
Niedersachsen/Br,2623,Group,2
Nordrhein-Westfa,2624,Group,2
Rheinland-Pfalz/,2625,Group,2
Hessen,2626,Group,2
Baden-Wuttember,2627,Group,2
Bayern,2628,Group,2
Sachsen/Thuinge,2629,Group,2
Portugal Link,2680,Group,2
North,2681,Group,2
Center,2682,Group,2
Capital,2683,Group,2
Alentejo,2684,Group,2
Algarve,2685,Group,2
Azores,2686,Group,2
Madeira Is.,2687,Group,2
XLX270 A,2701,Group,2
European Prepare,2703,Group,2
LX ADRAD,2705,Group,2
LX RLX,2706,Group,2
LX Laru,2707,Group,2
IE Calling,2722,Group,2
IE Chat,2723,Group,2
Bridge to YSF-IE,2724,Group,2
AREN Logistics,2729,Group,2
Malta EchoLink,2780,Group,2
Nicosia,2802,Group,2
Famagusta,2803,Group,2
Larnaca,2804,Group,2
Limassol,2805,Group,2
Paphos,2806,Group,2
Kyrenia,2807,Group,2
TEST,2840,Group,2
