Channel Number	Receive Frequency	Transmit Frequency	Offset Frequency	Offset Direction	Operating Mode	Tx Operating Mode	Name	Tone Mode	CTCSS	DCS	Narrow	Skip	Attenuator	AGC	Noise Blanker	IPO	DNR	Moni TCall	BreakIn	Step	APF	Contour	Contour Position	IF Notch	Notch Position	Digital Notch	Narrow Position	Wide Position	Shift Position	Comment
1	433.40000	433.40000	 	Simplex	FM	FM	U272/SU16	None	67.0 Hz	023	Off	Off	Off	Auto	Off	IPO	Off	On	Off	6.25 kHz	Off	Off	300 Hz	Off	1500 Hz	Off	50 Hz	500 Hz	0 Hz	
2	433.42500	433.42500	 	Simplex	FM	FM	U274/SU17	None	67.0 Hz	023	Off	Off	Off	Auto	Off	IPO	Off	Off	Off	6.25 kHz	Off	Off	300 Hz	Off	1500 Hz	Off	50 Hz	500 Hz	0 Hz	
3	433.45000	433.45000	 	Simplex	FM	FM	U276/SU18	None	67.0 Hz	023	Off	Off	Off	Auto	Off	IPO	Off	Off	Off	6.25 kHz	Off	Off	300 Hz	Off	1500 Hz	Off	50 Hz	500 Hz	0 Hz	
4	433.47500	433.47500	 	Simplex	FM	FM	U278/SU19	None	67.0 Hz	023	Off	Off	Off	Auto	Off	IPO	Off	Off	Off	6.25 kHz	Off	Off	300 Hz	Off	1500 Hz	Off	50 Hz	500 Hz	0 Hz	
5	433.50000	433.50000	 	Simplex	FM	FM	U280/SU20/Ca	None	67.0 Hz	023	Off	Off	Off	Auto	Off	IPO	Off	Off	Off	6.25 kHz	Off	Off	300 Hz	Off	1500 Hz	Off	50 Hz	500 Hz	0 Hz	
6	433.52500	433.52500	 	Simplex	FM	FM	U282/SU21	None	67.0 Hz	023	Off	Off	Off	Auto	Off	IPO	Off	Off	Off	6.25 kHz	Off	Off	300 Hz	Off	1500 Hz	Off	50 Hz	500 Hz	0 Hz	
7	433.55000	433.55000	 	Simplex	FM	FM	U284/SU22	None	67.0 Hz	023	Off	Off	Off	Auto	Off	IPO	Off	Off	Off	6.25 kHz	Off	Off	300 Hz	Off	1500 Hz	Off	50 Hz	500 Hz	0 Hz	
8	433.57500	433.57500	 	Simplex	FM	FM	U286/SU23	None	67.0 Hz	023	Off	Off	Off	Auto	Off	IPO	Off	Off	Off	6.25 kHz	Off	Off	300 Hz	Off	1500 Hz	Off	50 Hz	500 Hz	0 Hz	
9	145.20000	145.20000	 	Simplex	FM	FM	V16/S8	None	67.0 Hz	023	Off	Off	Off	Auto	Off	IPO	Off	Off	Off	6.25 kHz	Off	Off	300 Hz	Off	1500 Hz	Off	50 Hz	500 Hz	0 Hz	
10	145.21300	145.21300	 	Simplex	FM	FM	V17	None	67.0 Hz	023	Off	Off	Off	Auto	Off	IPO	Off	Off	Off	6.25 kHz	Off	Off	300 Hz	Off	1500 Hz	Off	50 Hz	500 Hz	0 Hz	
