Location,Name,Frequency,Duplex,Offset,Tone,rToneFreq,Mode
1,U272/SU16,433.400,,0,,88.5,FM
2,U274/SU17,433.425,,0,,88.5,FM
3,U276/SU18,433.450,,0,,88.5,FM
4,U278/SU19,433.475,,0,,88.5,FM
5,U280/SU20/Calling,433.500,,0,,88.5,FM
6,U282/SU21,433.525,,0,,88.5,FM
7,U284/SU22,433.550,,0,,88.5,FM
8,U286/SU23,433.575,,0,,88.5,FM
9,V16/S8,145.200,,0,,88.5,FM
10,V17,145.213,,0,,88.5,FM
11,V18/S9,145.225,,0,,88.5,FM
12,V19,145.238,,0,,88.5,FM
13,V20/S10,145.250,,0,,88.5,FM
14,V21,145.263,,0,,88.5,FM
15,V22/S11,145.275,,0,,88.5,FM
16,V23,145.275,,0,,88.5,FM
17,V24/S12,145.300,,0,,88.5,FM
18,V25,145.313,,0,,88.5,FM
19,V26/S13,145.325,,0,,88.5,FM
20,V27,145.338,,0,,88.5,FM
21,V28/S14,145.350,,0,,88.5,FM
22,V29,145.363,,0,,88.5,FM
23,V30/S15,145.375,,0,,88.5,FM
24,V31,145.388,,0,,88.5,FM
25,V32/S16,145.400,,0,,88.5,FM
26,V33,145.413,,0,,88.5,FM
27,V34/S17,145.425,,0,,88.5,FM
28,V35,145.438,,0,,88.5,FM
29,V36/S18,145.450,,0,,88.5,FM
30,V37,145.463,,0,,88.5,FM
31,V38/S19,145.475,,0,,88.5,FM
32,V39,145.488,,0,,88.5,FM
33,V40/S20/Calling,145.500,,0,,88.5,FM
34,V41,145.513,,0,,88.5,FM
35,V42/S21,145.525,,0,,88.5,FM
36,V43,145.538,,0,,88.5,FM
37,V44/S22,145.550,,0,,88.5,FM
38,V45,145.563,,0,,88.5,FM
39,V46/S23,145.575,,0,,88.5,FM
40,V47,145.588,,0,,88.5,FM
41,GB3LR,430.863,+,7.6,TSQL,88.5,FM
42,GB3HY,430.900,+,7.6,TSQL,88.5,FM
43,GB3HE,430.925,+,7.6,TSQL,88.5,FM
44,GB3BH,430.988,+,7.6,TSQL,88.5,FM
45,GB7ZE,433.050,+,1.6,TSQL,88.5,FM
46,GB3MH,145.625,-,0.6,TSQL,88.5,FM
47,GB3ES,145.675,-,0.6,TSQL,88.5,FM
48,GB3WS,145.750,-,0.6,TSQL,88.5,FM
49,GB7RX,145.775,-,0.6,TSQL,88.5,FM
50,GB3EB,145.788,-,0.6,TSQL,88.5,FM
